employee_id,store_id,salary,start_date,end_date,is_current
1,46,33345,2025-11-24,9999-12-31,True
2,29,23325,2025-02-27,9999-12-31,True
3,54,22348,2025-01-13,9999-12-31,True
4,22,77360,2025-05-21,9999-12-31,True
5,75,69422,2025-05-06,9999-12-31,True
6,46,74561,2025-04-25,9999-12-31,True
7,34,64892,2025-03-13,9999-12-31,True
8,31,50024,2025-02-22,9999-12-31,True
9,25,26288,2025-12-13,9999-12-31,True
10,83,27443,2025-10-07,9999-12-31,True
11,21,42424,2025-02-14,9999-12-31,True
12,17,66567,2025-10-30,9999-12-31,True
13,14,63669,2025-08-05,9999-12-31,True
14,8,53304,2025-01-17,9999-12-31,True
15,77,71210,2025-01-16,9999-12-31,True
16,100,29757,2025-02-17,9999-12-31,True
17,4,64876,2025-04-22,9999-12-31,True
18,16,77011,2025-04-30,9999-12-31,True
19,90,79607,2025-09-16,9999-12-31,True
20,66,76981,2025-11-05,9999-12-31,True
21,1,67882,2025-01-14,9999-12-31,True
22,47,72314,2025-10-15,9999-12-31,True
23,22,36111,2025-04-12,9999-12-31,True
24,70,48721,2025-11-29,9999-12-31,True
25,45,46090,2025-12-26,9999-12-31,True
26,91,42725,2025-10-07,9999-12-31,True
27,37,31998,2025-08-03,9999-12-31,True
28,69,37375,2025-04-23,9999-12-31,True
29,25,32658,2025-08-18,9999-12-31,True
30,97,25686,2025-10-29,9999-12-31,True
31,72,74673,2025-05-23,9999-12-31,True
32,55,41615,2025-01-04,9999-12-31,True
33,86,78045,2025-03-23,9999-12-31,True
34,84,43691,2025-12-24,9999-12-31,True
35,90,26893,2025-08-05,9999-12-31,True
36,2,52795,2025-06-24,9999-12-31,True
37,74,45254,2025-05-23,9999-12-31,True
38,16,76329,2025-03-21,9999-12-31,True
39,74,34016,2025-04-21,9999-12-31,True
40,56,73677,2025-06-22,9999-12-31,True
41,75,40528,2025-02-22,9999-12-31,True
42,55,67279,2025-02-17,9999-12-31,True
43,95,79630,2025-07-14,9999-12-31,True
44,89,39239,2025-02-19,9999-12-31,True
45,17,73494,2025-07-03,9999-12-31,True
46,6,23757,2025-06-26,9999-12-31,True
47,8,72704,2025-11-06,9999-12-31,True
48,59,56115,2025-05-16,9999-12-31,True
49,29,40296,2025-01-23,9999-12-31,True
50,18,29240,2025-08-24,9999-12-31,True
51,35,26109,2025-10-02,9999-12-31,True
52,73,70136,2025-03-05,9999-12-31,True
53,8,48126,2025-07-13,9999-12-31,True
54,39,50751,2025-02-10,9999-12-31,True
55,21,43527,2025-10-10,9999-12-31,True
56,18,56040,2025-05-31,9999-12-31,True
57,12,27419,2025-11-18,9999-12-31,True
58,55,29844,2025-11-13,9999-12-31,True
59,16,44402,2025-07-05,9999-12-31,True
60,20,68988,2025-10-23,9999-12-31,True
61,68,23497,2025-04-09,9999-12-31,True
62,74,50872,2025-12-27,9999-12-31,True
63,19,79569,2025-02-05,9999-12-31,True
64,94,29944,2025-01-24,9999-12-31,True
65,21,65608,2025-12-05,9999-12-31,True
66,11,73633,2025-04-27,9999-12-31,True
67,36,65001,2025-05-29,9999-12-31,True
