employee_id,store_id,salary
1,82,45526
2,15,77541
3,4,44541
4,95,61565
5,36,39335
6,32,74895
7,29,24847
8,18,69823
9,95,52108
10,14,57142
11,87,30180
12,95,46807
13,70,27164
14,12,58178
15,76,41213
16,55,76355
17,5,63198
18,4,62535
19,12,78472
20,28,45700
21,30,59837
22,65,34601
23,78,68174
24,4,26558
25,72,25003
26,26,65336
27,92,36935
28,84,72663
29,90,40965
30,70,27229
31,54,78054
32,29,37256
33,58,78785
34,76,28619
35,36,46911
36,1,40217
37,98,51714
38,21,63660
39,90,76664
40,55,45909
41,44,32659
42,36,46260
43,20,45283
44,28,35730
45,98,65920
46,44,39496
47,14,67994
48,12,66796
49,49,64469
50,13,26679
